TLD	Registration Price	Renewal Price	Minimum Term
.ac	$59.99 per year	$59.99 per year	1 Year
.academy	$13.99 per year	$33.99 per year	1 Year
.accountant	$19.99 per year	$87.99 per year	1 Year
.accountants	$16.99 per year	$108.99 per year	1 Year
.actor	$13.99 per year	$42.99 per year	1 Year
.ae	$70.99 per year	$70.99 per year	1 Year
.aero	$99.00 per year	$99.00 per year	1 Year
.agency	$3.99 per year	$21.99 per year	1 Year
.airforce	$6.99 per year	$33.99 per year	1 Year
.am	$99.99 per year	$99.99 per year	1 Year
.app	$18.99 per year	$21.99 per year	1 Year
.archi	$13.99 per year	$79.99 per year	1 Year
.army	$13.99 per year	$33.99 per year	1 Year
.art	$11.99 per year	$11.99 per year	1 Year
.asia	$4.99 per year	$19.99 per year	1 Year
.associates	$13.99 per year	$33.99 per year	1 Year
.at	$79.99 per year	$79.99 per year	1 Year
.attorney	$32.99 per year	$34.99 per year	1 Year
.au	$9.99 per year	$11.99 per year	1 Year
.auction	$26.99 per year	$33.99 per year	1 Year
.audio	$89.99 per year	$130.99 per year	1 Year
.baby	$19.99 per year	$65.99 per year	1 Year
.band	$13.99 per year	$27.99 per year	1 Year
.bar	$83.99 per year	$83.99 per year	1 Year
.bargains	$9.99 per year	$33.99 per year	1 Year
.be	$39.99 per year	$39.99 per year	1 Year
.beer	$33.99 per year	$33.99 per year	1 Year
.berlin	$64.99 per year	$59.99 per year	1 Year
.best	$19.99 per year	$109.99 per year	1 Year
.bid	$2.99 per year	$4.99 per year	1 Year
.bike	$9.99 per year	$33.99 per year	1 Year
.bingo	$50.99 per year	$50.99 per year	1 Year
.biz	$4.99 per year	$18.99 per year	1 Year
.black	$13.99 per year	$52.99 per year	1 Year
.blackfriday	$89.99 per year	$130.99 per year	1 Year
.blog	$6.99 per year	$32.99 per year	1 Year
.blue	$5.99 per year	$17.99 per year	1 Year
.boston	$2.99 per year	$16.99 per year	1 Year
.boutique	$3.99 per year	$33.99 per year	1 Year
.build	$83.99 per year	$83.99 per year	1 Year
.builders	$33.99 per year	$33.99 per year	1 Year
.business	$21.99 per year	$21.99 per year	1 Year
.buzz	$39.99 per year	$39.99 per year	1 Year
.bz	$50.00 per year	$50.00 per year	1 Year
.ca	$12.99 per year	$12.99 per year	1 Year
.cab	$33.99 per year	$33.99 per year	1 Year
.cafe	$9.99 per year	$33.99 per year	1 Year
.camera	$45.99 per year	$45.99 per year	1 Year
.camp	$45.99 per year	$45.99 per year	1 Year
.capital	$9.99 per year	$58.99 per year	1 Year
.cards	$33.99 per year	$33.99 per year	1 Year
.care	$13.99 per year	$33.99 per year	1 Year
.careers	$55.99 per year	$55.99 per year	1 Year
.casa	$9.99 per year	$11.99 per year	1 Year
.cash	$5.99 per year	$33.99 per year	1 Year
.casino	$13.99 per year	$149.99 per year	1 Year
.catering	$33.99 per year	$33.99 per year	1 Year
.cc	$10.99 per year	$60.00 per year	1 Year
.center	$6.99 per year	$21.99 per year	1 Year
.ch	$34.99 per year	$36.99 per year	1 Year
