,Type,Domain
0,YouTube.com – druga pozycja też pokrywa się z trendami światowymi. Serwis do publikacji klipów wideo. Zawiera w sobie drugą najpopularniejszą wyszukiwarkę na świecie,youtube.com
1,Facebook.com – serwis społecznościowy służący do komunikacji i udostępniania zdjęć oraz wideo. To co widzą użytkownicy na tzw. tablicy jest uzależnione od ich preferencji i sieci znajomych. Ciągłe aktualizacje algorytmów utrzymują jego popularność w śród różnych grup wiekowych. Serwis zarabia na reklamach i udostępnianiu informacji o użytkownikach.,facebook.com
2,Allegro.pl – rodzimy serwis aukcyjny i najpopularniejszy rynek e-commerce w Polsce,allegro.pl
3,Google.pl – polska wersja wyszukiwarki Google.,google.pl
4,Wp.pl – portal internetowy,wp.pl
5,Onet.pl – serwis internetowy z wiadomościami,onet.pl
6,Interia.pl – portal internetowy podobny do WP i Onet.,interia.pl
7,Wikipedia.org – internetowa encyklopedia,wikipedia.org
8,Olx.pl – serwis ogłoszeniowy wywodzący się z dawnego serwisu tablica,olx.pl
9,Gazeta.pl – portal informacyjny (także zawierający usługę poczty e-mail),gazeta.pl
10,Librus.pl – serwis dotyczący usług elektronicznych dla edukacji,librus.pl
11,o2.pl – należący obecnie do Wirtualnej Polski,o2.pl
12,Tvn24.pl – serwis informacyjny stacji telewizyjnej.,tvn24.pl
13,Instagram.com – należący do Facebooka serwis społecznościowy bazujący na współdzieleniu zdjęć i krótkich filmów.,instagram.com
14,Money.pl – serwis informacyjny dotyczący finansów i gospodarki,money.pl
15,Wyborcza.pl – portal informacyjny,wyborcza.pl
16,medonet.pl – medyczny serwis Onetu.,medonet.pl
17,Cda.pl – polski serwis streamingujący darmowe i płatne filmy.,cda.pl
18,Netflix.com – serwis do streamingu filmów i seriali.,netflix.com
19,Twitter.com – serwis społecznościowy polegający na mikroblogowaniu.,twitter.com
20,Pudelek.pl – internetowy serwis „plotkarski” należący do Wirtualnej Polski.,pudelek.pl
21,P…hub.com – serwis z filmami +18,p…hub.com
22,Ceneo.pl – należąca do Allegro porównywarka cen.,ceneo.pl
23,Vulcan.net.pl – serwis dotyczący usług elektronicznych dla edukacji.,vulcan.net.pl
24,Wykop.pl – polski serwis społecznościowy do mikroblogowania. Funkcjonalność zbliżona do dawnego Digg.,wykop.pl
25,Fakt.pl – portal informacyjny.,fakt.pl
