"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","18,657,325","100"
"2","apple.com","5,518,034","100"
"3","www.google.com","12,442,787","100"
"4","linkedin.com","9,511,419","99"
"5","play.google.com","3,395,675","99"
"6","support.google.com","4,593,245","99"
"7","microsoft.com","4,562,898","99"
"8","www.blogger.com","26,031,438","99"
"9","adobe.com","2,746,420","98"
"10","youtu.be","3,975,578","98"
"11","wordpress.org","10,419,454","98"
"12","en.wikipedia.org","5,556,289","98"
"13","maps.google.com","4,457,172","98"
"14","cloudflare.com","5,243,104","98"
"15","docs.google.com","2,412,497","98"
"16","sites.google.com","1,788,830","97"
"17","vimeo.com","3,112,264","97"
"18","europa.eu","1,661,583","97"
"19","plus.google.com","11,778,831","97"
"20","accounts.google.com","2,501,042","97"
"21","mozilla.org","1,897,736","97"
"22","drive.google.com","1,833,681","97"
"23","googleusercontent.com","2,211,460","97"
"24","vk.com","1,649,787","96"
"25","github.com","2,111,561","96"
"26","facebook.com","48,363,177","96"
"27","pt.wikipedia.org","359,930","96"
"28","uol.com.br","569,978","96"
"29","es.wikipedia.org","790,882","96"
"30","line.me","654,223","96"
"31","bp.blogspot.com","16,218,853","96"
"32","istockphoto.com","3,163,053","96"
"33","amazon.com","4,095,798","96"
"34","cnn.com","1,219,501","96"
"35","bbc.co.uk","1,419,375","96"
"36","medium.com","1,174,224","95"
"37","google.de","1,064,495","95"
"38","feedburner.com","1,726,920","95"
"39","bbc.com","661,087","95"
"40","paypal.com","906,871","95"
"41","www.weebly.com","2,701,801","95"
"42","live.com","741,974","95"
"43","reuters.com","723,710","95"
"44","t.me","643,935","95"
"45","abril.com.br","223,900","95"
"46","myspace.com","1,268,515","95"
"47","developers.google.com","879,884","95"
"48","theguardian.com","1,212,538","95"
"49","hugedomains.com","4,887,388","95"
"50","wikimedia.org","1,391,241","95"
"51","google.co.jp","631,972","95"
"52","news.google.com","700,819","95"
"53","creativecommons.org","1,602,121","95"
"54","imdb.com","1,240,185","95"
"55","brandbucket.com","11,057,461","95"
"56","fr.wikipedia.org","531,549","95"
